"","Sex","Age","Education","Caste","Family","Family_income","Who_runs_page","Desc_family","Desc_desiredpartner"
"11","Male","28 to 31","Postgraduate","Brahmin","Nuclear Family","Max 17.5 lakh","Sibling","My family belongs to upper middle class. We hail from Kanpur and presently settled in Lucknow. My father retired as asstt. manager from UP Cooperative Bank in 2013. My elder sister is happily married in Delhi. My elder brother is also a Central Government employee and posted in Lucknow. He is married and my Bhabhi is Post graduate in MBA and belongs to Kanpur. In our family we care for each other and stay as one. We are looking for someone who has family values and respect for elders.","My partner should be fun loving, jolly and humble. Since i live with my parents, my partner should have indian family values, respect for elders and caring."
"12","Male","Upto 27","Graduate","Other upper caste","Nuclear Family","More than 17.5","Parent","nuclear family","homely friendly my life partner"
"13","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Self","mother father","well educated government services"
"14","Male","28 to 31","Postgraduate","Other upper caste","Joint Family","Max 6.3 lakh","Self","we are 5 member in my family. my father me and my two elders brother and my mother is no More .& my two elders brother is merrid..","simple, carrying, well educated, professional, loving ,soft heart, ho agar mai koi galti karu to maafi mangne par mujhe maaf kar de ,or humesha bo mera or mai uski care karu lifetime mere sath rahe dukh sukh me humesha mera sath de, or vo aisa ho kii mai har janam me meri wife bane."
"15","Female","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Sibling","There are four members in my family including her.We are landlords. My father is involved in agricultural activities and my mother is a home maker.While I am her elder brother and a software developer in Infosys technologies Ltd.","She is looking for a well settled man who can support and stand by her in every situation of her life and she will also do the same. He should respect his parents and believe in the concept of marriage. As she is Non smoker and Non drinker, she will prefer someone who is Non smoker and Non drinker."
"16","Male","Upto 27","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Parent","Me ved prakash Srivastava doing business having pharmaceuticals company. my wife Reeta is housewife. Elder son Ravi is software engineer and married his wife is M.B.A. He is younger one to whom we are searching life partner.","one should be well behaved. Smart. Convent educated and should understand the family value."
"17","Female","28 to 31","Postgraduate","Brahmin","Nuclear Family","Max 12.5 lakh","Parent","We are a nuclear family and belong to Allahabad, U.P. Our father works in the Air Force and mother is a homemaker. I am her younger brother and I work in the Army as an Army Officer.","looking to meet someone who is open minded, patient and has an enthusiasm for life. Someone who would be more of a friend, compassionate, caring and has a big heart will be desired. He should have a sense of humour, possess a positive attitude and should be a good decision maker."
"18","Male","32 and more","Graduate","Other upper caste","Nuclear Family","Max 12.5 lakh","Self","Father is doing family business (Spare Parts).. Mother is housewife.. one sister is unmarried and doing family business..","Looking for a lifetime companion, someone who is honest, down-to-earth, good looking balances family and professional life, respects family and Indian values, and above all is a good friend to share a life long relationship full of fun and mutual caring, respect and support."
"19","Male","Upto 27","Postgraduate","Dalit","Nuclear Family","More than 17.5","Self","father- (DGM) IN NTPC national thermal power corporation mom- committee member in NTPC 1 sister - teacher.","fun loving person who know how to manage everything self independent person respect me and my parents understand us make a truth relation"
"20","Male","32 and more","Postgraduate","Brahmin","Joint Family","Max 6.3 lakh","Self","GAUR BRAHMIN","SIMPLE"
"21","Female","32 and more","Graduate","Other upper caste","Nuclear Family","More than 17.5","Sibling","We are having a sweet, small family having strong bonding n believed in our traditions. own house in kanpur(newly- constructed). Her father is expired. Her mom is a sweet house wife and a strong support as well in every important decision of family. Two brothers elder- (Married) Having Business of Industrial Products n chemicals.also supply goods to factories. Two Brothers Younger running factory of Mfg of FRP (fibre glass sheet n domes for shade) Products.","We are looking for a well qualified, well-settled, caring & trustworthy, faithful and understanding partner for our daughter. He should be having strong believe in his traditions. He should be an honest human being. Trustworthy, faithful and should be understanding and genuine commitment to marital relationship."
"22","Male","28 to 31","Graduate","Brahmin","Nuclear Family","Max 17.5 lakh","Self","Father is Expired. Mother is housewife. Two brothers, both are married and both are working in private sector.(construction) Three sisters, all are married and all are settled in Uttar Pradesh.","She should be the one who can handle every situation of her life easily and comfortably. She should be from a very good family background and understand her responsibilities towards life and family."
"23","Female","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 5 lakh","Self","meri bhai behan sab bohut achhe he maa papa or ek bhai 2 sister he he jisme behno ki sadi ho gai dono ki bhai ki na hui abi","jo mujhe samjhe meri beti ki ceyar kare kabhi usme bhed bhao na kare kabhi life me tane n de kesi bat ko leke or meri beti ki ek achha bap hone ka sath mile baki me unko or unki femle se koi mere bajah se koi problam ni hone dugi hamesha unke maa bapp ka khyal rakhugi"
"24","Female","Upto 27","Graduate","Other upper caste","Nuclear Family","More than 17.5","Self","My family is staying in Dehradun, Uttarakhand,. My father is bussinesman and mother is housewife. My brother and sister both are younger then me and they are studing.","I want open minded partner. Who must be loyal , caring and responsible person. I would prefer the person who knows not only to live life but enjoy the life."
"25","Male","32 and more","Graduate","Other upper caste","Joint Family","Max 5 lakh","Sibling","Father expired, I believe jointly family is the so much advantages for living life,","Need a graduate (B. A) homly girl from middle class kayasth or Brahmin family.preferred to middle U. P"
"26","Male","32 and more","Graduate","OBC","Nuclear Family","Max 5 lakh","Self","My younger sister lives in Rewari, Haryana.","Simple, kind-hearted and able to manage the social structure of the family."
"27","Male","32 and more","Graduate","Other upper caste","Nuclear Family","More than 17.5","Parent","There are five members in my family and all having a strong bond of love with each other.I(father) am Mphill in Mathematics and younger son has also completed his btech in IT recently. My sweet younger daughter is persuing MBA and my wife is a homemaker.","Needs a beautiful,charming,fair,slim,soft spoken and well educated girl from a reputated family background"
"28","Male","28 to 31","Graduate","OBC","Nuclear Family","More than 17.5","Self","We belongs to middle class family. My father is an ex army person, my mother is house wife. We are looking for an educated girl who can understand family values.","She should be a good girl by nature and should understand the family value."
"29","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","More than 17.5","Parent","I live with my Mother who is a homemaker. I have an elder brother who is married and working in a MNC in Noida. My sister-in-law works in Indian Agriculture Research Institute in Delhi","Should be honest simple and caring and most important down to earth"
"30","Male","32 and more","No higher education","Other upper caste","Joint Family","Max 12.5 lakh","Sibling","Hi thank u for visiting my brothers profile .He is smart looking person with a pure heart who will take care of his partner with affection and love despite being a little mentally weak .He owns a internet cafe and is eligible for family pension .We own a house and a four wheeler","i m looking a partner for my brother which truly understands him ,takes care of him most importantly loves him for what he is .My brother is honest with a pure heart who will take care of her partner ."
"31","Male","32 and more","Postgraduate","OBC","Nuclear Family","More than 17.5","Self","I have one younger brother and one younger sister.","She should be career oriented, sensible, lovable, caring, down to earth who believe stength of togetherness and value people more than things."
"32","Male","28 to 31","Graduate","OBC","Nuclear Family","Max 17.5 lakh","Self","Nuclear Family, Believes in God and having faith in doing good and treating others with respect & expect the same.","Someone who is looking for the emotional connect which I guess matters a lot in any relationship.Someone who believes in family values and the idea that marriage is a lifelong journey we need to travel together with all love, care, arguments and happiness with family."
"33","Male","28 to 31","Graduate","Brahmin","Nuclear Family","More than 17.5","Parent","Nuclear family","Looking for someone who understands the value of family and remains positive, Polite, patient and supportive in all walks of life."
"34","Female","28 to 31","Postgraduate","Brahmin","Nuclear Family","Max 17.5 lakh","Parent","My father is a Sugar Technologist, after working in a various sugar factories in India,At present he is engaged in Chemical manufacturing industry in Kanpur as a Technical head in Kanpur. My mother is a simple, household lady and have a strong faith in God. My younger brother is a commerce graduate and preparing for competitions","Partner ,preferably, having a simple living and high thinking and God fearing and should have human values. ."
"35","Male","28 to 31","Graduate","Dalit","Joint Family","Max 12.5 lakh","Self","educated","educated simpal"
"36","Male","Upto 27","Graduate","Brahmin","Nuclear Family","Max 12.5 lakh","Self","small family","Understanding, value others, should not be self-centred, should not be overreacting, can handle situation calmly"
"37","Male","32 and more","Graduate","Other upper caste","Nuclear Family","More than 17.5","Parent","My family father is in services mother is house wife and My elder brother is in service, we have no sister.","A simple girl with family values and social ethics traditional as well as modern, who can take my family as well her family too. Love and appreciation for every senior and juniors. A person who can understand me and my values."
"38","Male","32 and more","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Self","We are a very small family with just me and my mother.","Sensible Mature Caring"
"39","Male","32 and more","No higher education","Other upper caste","Nuclear Family","Max 12.5 lakh","Self","Brother lives in Agra with his wife and have 2 sons. He is sub inspector posted in Agra. Sister lives in delhi married and have 1 son.","I am looking for a good friend as well as partner ."
"40","Male","Upto 27","Graduate","Other upper caste","Joint Family","Max 5 lakh","Other","I have four sister and one brother","Beautiful"
"41","Female","28 to 31","Graduate","Other upper caste","Nuclear Family","More than 17.5","Parent","Belongs to Reputed and Jamindar Thakur Family from Banthra Sikenderpur Lucknow.","I am looking for a partner whom i can trust upon,he should be caring ,loving and respect me."
"42","Male","28 to 31","Postgraduate","Other upper caste","Joint Family","Max 12.5 lakh","Self","My brother is a business man my father is a ex army my mother is a house wife.brother and sister both married..","very beautiful and high educated. only rajput. Chauhan. tomar. Sengar. chandel. Solanki. Rathore. parihar. etc."
"43","Female","32 and more","Graduate","Other upper caste","Joint Family","Max 5 lakh","Self","My family is very supportive","be a honest person"
"44","Male","28 to 31","Postgraduate","Brahmin","Nuclear Family","Max 12.5 lakh","Parent","we are middle class family. i am retired from Govt inter college. my wife is homemaker by choice. she is M.A in Hindi. i have two sons. elder one is doing Business. another one is preparing for civil services and has coaching of Medical students.","she should be well educated and can adjust & understand our family values."
"45","Female","Upto 27","Graduate","Brahmin","Nuclear Family","Max 6.3 lakh","Self","father is working as a teacher in private sector. mother is housewife . one sister is married and she is settled in agra. one brother is unmarried and he is working in private sector.","he should honest, trust worthy and understanding. He should have love for the young ones and respect for my parents and elders. provide supporting to handle all situation , a decent family background, Partner should be Good behavior, understanding, caring familiar"
"46","Male","32 and more","Postgraduate","Brahmin","Nuclear Family","More than 17.5","Parent","Ours is well educated & highly reputed family. Believes in a customs & tradition. Father is in corporate sector , mother is a housewife. 1 younger sister --- MCA--software engineer..","A simple, beautiful, loving, caring & adjustable girl with good educational background. She should have love for the young ones and respect for parents and elders. She should value relationship and tradition. She should believe in long term relationship & ready to face all challenges of life with positive attitude."
"47","Male","Upto 27","Graduate","Other upper caste","Joint Family","Max 12.5 lakh","Self","my family is very sweet simple family °‘ 3 elder sister married which 2 sister settled in Bhopal both husband doing a job Bhopal MP police small sister teacher in private school singrauli MP one elder brother doing job in transport company father is not working mother is house wife .","I am waiting my sweet simple princess jo mujko ache se smjhti Ho or mai unko smjh saku............. jo mere family ko apna smjhti Ho bilkul apne maa papa Jaise or jo kabi mujh se naraj na Ho ................... °”« ha ek or most baat ki unko °— car driver Karna ata ho ...................."
"48","Male","Upto 27","Postgraduate","Brahmin","Nuclear Family","Max 12.5 lakh","Self","My Father is a farmer and mother is a housewife. I have 2 sisters, one is married and the other is doing the job in the retail sector.","I am looking for a tall and handsome professional based in Kanpur or out of Kanpur. He should have a fulfilling career and should be able to support my career as well. I travel occasionally and I am hoping to find someone who will be available to spend time with me. I don¢€™t like smoking, drinking, etc. I have a modern outlook on life but I believe in traditional values such as respect for parents and helping others in need. I am willing to change my opinions if you can convince me and you should be open-minded about your opinions as well. The Three Expectations will add extra - Positive attitude, Good Behavior & Dynamic Personality."
"49","Male","28 to 31","Postgraduate","Brahmin","Joint Family","More than 17.5","Self","Well Educated , One brother in Government job 2 Brother's preperation for Civil service in DELHI and Me maximum stay In own own lucknow house with mother Belongs to Ambedkar Nagar UP, property's Azamgarh and Ambedkar nagar","Honest ,Responsible, loving"
"50","Male","28 to 31","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Parent","Father is a lawyer at Tehsil Jalalabad-Shahjahanpur. Mother is a Convent school Teacher.Two elder sisters are married and are working in media and textile sector. one younger sister is working as chief minister good governance associate for government of Haryana. Younger brother is working as graphic designer in a multinational company.","Looking for an educated, homely and working girl."
"51","Male","28 to 31","Postgraduate","Brahmin","Nuclear Family","Max 17.5 lakh","Self","My father is retired govt teacher and mother is the queen of house.","should be simple caring honest and down to earth"
"52","Male","Upto 27","Postgraduate","Brahmin","Nuclear Family","Max 17.5 lakh","Parent","Father is do work as in Operation Management in well reputed Manufacturing Company. Mother is house wife. Have no siblings","Want a family oriented Bride only have beauty with brain primarily and we also against dowry system. We have not any daughter so want enterlike a daughter for our family."
"53","Female","Upto 27","Graduate","Brahmin","Nuclear Family","More than 17.5","Self","There are four members in my family, my mother elder brother,elder sister and me.My mother is a home maker and my father had expired.My brother has done b-tech in IT and working in a MNC in Noida.My sister is M.Sc B.ed and working as a PGT Biology teacher in A semi govt school in Noida.","He should be understanding, supportive and cooperative.It would be great if he would be looking for a friend alongwith wife"
"54","Male","32 and more","Graduate","Other upper caste","Nuclear Family","More than 17.5","Parent","Living in Delhi for the past 35 years. Ancestral home @Raipur Lal ganj Rai-Bareilly UP. We are six members in the family. I Father in Government service Mother is a house maker 2 younger brothers one held post of Scientist in Govt Sector and other is working as junior Engineer(Civil) in DDA both are B.Tech and a younger sister have completed her B.Tech recently and preparing for Govt job.'","She should be vegetarian. She should possess good health. She should be equally qualified with or without job but preferably with similar timing in case of job."
"55","Female","28 to 31","Postgraduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Parent","We are a nuclear family which consists of 4 members . Myself the father is a post graduate and working in a PSU as Assistant Manager . My wife is a lovely Homemaker and has key role in making my house a home . My son is the youngest member of the family and has recently completed his B.Tech from IP university Delhi currently he is working in private sector and preparing for government/PSU jobs .","looking for educated smart and well settled in govt ,semi govt,Mnc ,PSU or business."
"56","Male","28 to 31","Postgraduate","Brahmin","Nuclear Family","More than 17.5","Parent","our family is traditional with a morden Outlook and holding good positions in their respective fields.","broad minded, sincere, caring ,working career oriented, humble, smart, optimistic approach towards the life, down to earth, & positive attitude"
"57","Male","28 to 31","No higher education","Other upper caste","Nuclear Family","Max 12.5 lakh","Self","Father is Retired. Mother is house wife. One brother is unmarried , he is working in the private sector. one sister is married and settled in Allahabad","She should have adjustable nature and should be able to handle every thick and thins of life. She should believe in family values and belongs to a very good family background."
"58","Male","28 to 31","Graduate","Brahmin","Joint Family","Max 17.5 lakh","Sibling","Very Reputed & Respected Family in his own District. Father is Retired Person from UP Cooperative society & Currently doing forming Business. Younger Brother working with Reputed MNC @ Bharti Airtel Uncle : Runing his own Business of Indian oil Petrol pump & bricks Filed. Uncle : A PWD Contractor & Another one is having Rice Mil","Good looking with culture orientate"
"59","Male","28 to 31","Graduate","OBC","Nuclear Family","Max 17.5 lakh","Self","Besically i am from Mau district in Uttar Pradesh. We are 5 member in my family mother 2 brother beside me n one married sister.","She should be simple, carring of family lovely.."
"60","Female","Upto 27","No higher education","Other upper caste","Nuclear Family","Max 6.3 lakh","Self","Father is working as a Teaching in private school Mother is housewife One brother is unmarried he is own coaching institute One sister is unmarried she is working in private sector","Looking for a person who is independent and understanding. He should be a good human being with a positive attitude towards life. He should be well educated and settled partner along with a modern outlook."
"61","Female","28 to 31","Graduate","Other upper caste","Nuclear Family","More than 17.5","Parent","My father is Govt. employee and mother is house wife. I have two sisters , one is pracising as lawyer in Delhi and other is preparing competetion.","Partener UP State govt class II officer or bank PO posted in UP or Dr MBBS or Engineers posted in UP."
"62","Male","32 and more","Postgraduate","OBC","Nuclear Family","Max 6.3 lakh","Self","father is golds buisness man and mother is housewife and three younger brother and two younger sister","I am looking for a girl who is decent, down to earth, pretty, loving and caring. She should have good moral and cultural background; she should also owe respect to Indian tradition, culture and to my parents and elders."
"63","Male","32 and more","No higher education","Other upper caste","Joint Family","Max 6.3 lakh","Self","Father is not working. Mother is housewife. Three sisters and one sister is married and settled in Azamgarh and two sister both are unmarried and both are doing study. Two brother both are unmarried and both are doing study.","She should be the one who can handle every situation of her life easily and comfortably. She should be from a very good family background and understand her responsibilities towards life and family."
"64","Female","Upto 27","Graduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Sibling","We are a nuclear family of 5 member. My Father (Businessman), My mother (Retired from BSNL), Brother (Sales professional), Sister-in-law (Software professional) and me.","Looking forward for an understanding and honest person. Family values and moral values are two basic ingredients in journey of life; hence looking for both of them."
"65","Male","32 and more","Graduate","Other upper caste","Nuclear Family","More than 17.5","Self","My father is retired from UPPCL (Uttar pradesh power corporation limited) and my mother is a housewife. I have one elder brother and one elder sister, both are married.","Looking for a suitable match who has enough understanding to take the life decisions. She should has loving and caring nature. Should be transparent in every aspects of life. I am open for both not working or working partner if she is well capable to balance her personal and professional life."
"66","Male","28 to 31","Postgraduate","Brahmin","Nuclear Family","More than 17.5","Sibling","My family is modrate.","She should be caring, soft spoken, loving and a girl of pleasing personality. She should be from a very good family background and understand her responsibilities towards life and family. She should be the one who can handle every situation of her life easily and comfortably."
"67","Male","32 and more","No higher education","Brahmin","Nuclear Family","More than 17.5","Parent","I retired from National Textile Corporation Ltd New Delhi worked as Incharge Finance & Account, a unit situated at Allahabad. Mother is looking after home management. He has two sisters both are married and well setted in Lucknow and at New Delhi. One younger brother passed B.Tech(CS) and working in MNC at Noida.","Priority to manage her home first as well as job if on working."
"68","Male","32 and more","Postgraduate","Brahmin","Nuclear Family","More than 17.5","Self","Its only me and my retired father is living together, my father is a retired Civilian Defense Personnel with traditional values and a Pace Maker Patient as well. Mother expired long back.(22 years ago). I already kept a full time care taker for my father whom I used to give instructions everyday, a cook who used to cook food for us on a regular note and a Maid for cleaning purpose. My Present CTC is 38 Lacs per annum, after deductions as per the living standards of Hyderabad, I used to get 2,80,000 per month, Plus I used to earn around 1,50,000 every month from my Court Cases and other works. Profile without pictures please stay away, I am not here to do time pass. I prepare my Breakfast by my own, doesn't like any intervention. And more importantly i have no plans to settle abroad till my father is alive. Although my Ancestral Origin is from West Bengal, but I don't have any connections with the same.","She has to be a beautiful, slim, fair, educated, Presentable, dashing extrovert and intelligent down to earth fellow with family oriented and modern culture and is ready to stand beside me.She should have good communication skills as well.NRI Candidates who feels like they are matching with my Personality and status and would like to settle out in India after Marriage will also be entertained at my end. Bottom Line - Preference will always be, Punjabi, Khatri, Jat, Marwari and Gujrati, and Rajput, Marathi, Sindhi and other Hindi Speaker Community, preferably from any Metro or other big Cities of India, who actually understand's the concept of Western Life Style, at the same time can also manage Indian Traditions and cultures as well. Bottom Line - I am looking out for a life partner not a liability for me. I want to get married by the end of this year not beyond that."
"69","Female","32 and more","Postgraduate","Dalit","Nuclear Family","Max 6.3 lakh","Parent","My father is a business man.I have three sister and 1 brother","my partner my family carrying my support"
"70","Female","28 to 31","Postgraduate","Brahmin","Nuclear Family","Max 17.5 lakh","Parent","we are orinally belongs from ballia and we settled in varanasi from 40 years.","hi I am looking that person who understands me and must be supportive and caring towards relationship."
"71","Male","32 and more","Postgraduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Self","I have four siblings and all are married. I live with my parents and elder brother at my own house at delhi. My brother runs his own business as an architect. My sisters are house wives and along with run govt. based play school at their homes.","should be simple, very humble, soft nature and mature thinker"
"72","Female","Upto 27","Postgraduate","OBC","Nuclear Family","Max 12.5 lakh","Sibling","We r from MAHOBA up.our family is middle cls n simple family..father has own grocery store n mummy is anganbari karykatri..!!Myself in reliance jio n 2nd no sister is lekhpal in revenue department in state gov.Youngest sis is pursuing B.Ed..!!Our family is against dowry we will marry her with the guy who n his family also have the same thoughts on dowry...!!!","1st of all he should be respecting elders as well as women.. Outer appearance doesn't matter much but he should be some one Jo apni future wife ki presence ko value kar ske..!! She will adjust if he is unable to give her love but she will not adjust without her respect n value in his family as well as in his opinion...!!! He should be the person who always gives priority to his family as well as her family before both of them...!! Rather than regarding career point of view very imp thing his job should be in up or at least his transfer is possible in up... Coz she is state gov employee her transfer can't be out of up"
"73","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Self","My father is a retired Engineer from the irrigation department. My mother is a housewife. My elder brother is located in Pune., is an Engineer has a business of automation product. My sister is a Ph.D. scholar and is married in Nasik. Myself is located in Gurgaon, working in MNC as an Estimation & Cost Engineer","Equally with me ......."
"74","Male","28 to 31","Graduate","Other upper caste","Joint Family","Max 12.5 lakh","Parent","My son is the only sibling. Father is a doctor by profession but has ventured into his own business and mother is a independent businesswoman, currently a housewife","She should be tall n beautiful n ready to adjust with the family."
"75","Female","32 and more","Postgraduate","Other upper caste","Joint Family","Max 17.5 lakh","Parent","Our's is a close knitted, loving family with loads of love and affection.There are 5 members in the family-myself(father),my wife and three daughters.I was directly recruited to Indian Forest Service in1985, served in various capacities inTamilnadu for more than 31 years and retired in 2016 from the post of Addl.Principal Chief Conservator of Forests.My wife is a Graduate and home maker.My eldest daughter,a dental surgeon,is married ‚¤tly practicing in Mumbai.My son-in-law is M.Tech and working as Asstt.GM in Idea cellular in Mumbai.My elder daughter has done BE (CSE) for whom we are seeking alliance.My youngest daughter has done B Tech in IT and currently preparing for Civil Services Exam.We have ancestral properties in village area in Jaunpur district of UP but we are generally residing at our Chennai house.","Loving and caring individual."
"76","Female","Upto 27","Graduate","OBC","Nuclear Family","Max 17.5 lakh","Parent","My Father is working in Panasonic as a Senior Manager in Engineering dept. My mother is a housewife. Brother is studying in 12th class. We are settled in Ghaziabad and belong from Gorakhpur","He should be working in Banglore and belongs to Gorakhpur and surrounding."
"77","Male","32 and more","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Self","We are a close Knit happy family with traditional values and a modern outlook comprising 4 members including myself, younger brother, my father who is managing Finance & Handicrafts business while mom is a House maker","I want my life partner who loves me and my family as she do with her own family."
"78","Male","28 to 31","Postgraduate","Other upper caste","Nuclear Family","More than 17.5","Parent","My family is well educated and belongs to upper middle class My father works as branch manager in government bank presently posted at Agra UP","Good looking slim smart fair complexion qualified well nature compromise nature respect each other and their elders"
"79","Female","28 to 31","Postgraduate","Brahmin","Nuclear Family","Max 12.5 lakh","Parent","My Father is a businessman and my Mother is a homemaker. My brother is studying and we are three sisters, My elder sister is married and the younger one has completed her mba recently.","My ideal partner would be someone that is deep and passiomate like i am. I dont want someone who is the same as me at all.. but i do want someone who hs the same or similar ideals as me. I want someone who will support me in all my endevours and encourage me but also get excited when i am excited about something. I want someone who is kind and caring not just to me but to other people. I will not be with someone who treats other people badly. Someone who puts time and effort into me in every way to show me i am loved and cared for just like i would with them.‚"
"80","Male","28 to 31","Postgraduate","Dalit","Nuclear Family","Max 17.5 lakh","Parent","father BA.LLB head assistant in civil court mother BA.BED housemaker younger brother B.Tech & works as design engineer . Tau(uncle) retired additional district judge, cousin brother mtech assistant professor mjrup barreilly, second cousin brother MBBS medical officer,third cousin brother is advocate in delhi Highcourt.","healthcare and software professional preferred and same community."
"81","Female","28 to 31","Postgraduate","Other upper caste","Joint Family","Max 5 lakh","Parent","Father is self employed. Mother is housewife.","He should be smart, presentable, educated and a good human being with family values embedded. Honest ,loving ,caring and understanding person who believes in life long relationship and commitment. Looking for a well educated & decent life partner who can understand me & my family also"
"82","Male","32 and more","Postgraduate","Brahmin","Nuclear Family","Max 12.5 lakh","Sibling","My Father is Lecturer of hindi Socialogy in Govt College Sirsagang(Firozabad)..My mother was teacher but currently not in working my sister is Ma(eng) B.ed and married with Chartered accountants in Jaipur..'","I M looking such girl who have quite sense understanding & consensus idum. Complexion doesnt matter if we have proper understanding and affection and mutual understanding as well as who believe in our ethical value & have proper conscience for particular doing right or wrong."
"83","Male","28 to 31","Postgraduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Parent","I am a Lawyer by profession and social worker My Mrs. is wonderful housewife. My son has 3 younger brothers- 1. Er. Shivam, Mechanical Engineer at Alstom Pvt. Ltd. 2. Sundaram , pursuing MBBS from UPUMS , 3rd year 3. Shashwat , BA 2nd year , aspires to be an IAS (UPSC)","She should be loving, caring and loyal."
"84","Female","Upto 27","Graduate","Dalit","Nuclear Family","Max 12.5 lakh","Parent","Father is working in Govt sector (Railway). Mother is Housewife Two brothers both are unmarried and both are doing study .","Looking for a person who is independent and understanding. He should be a good human being with a positive attitude towards life. He should be well educated and settled partner along with a modern outlook. Honest, loving, caring and understanding person who believes in life long relationship and commitment."
"85","Male","28 to 31","Graduate","Other upper caste","Nuclear Family","Max 17.5 lakh","Self","My family includes my mother and younger brother. My mother happens to be a good homemaker. My brother is completing his post graduation.","I'm looking for a open minded, educated, responsible family oriented girl having traditional values with modern outlook. If she enjoys working, then she can but as I reside in a small city, so job options would be limited to teaching and banking sectors only."
"86","Male","Upto 27","Graduate","Other upper caste","Joint Family","Max 12.5 lakh","Self","We are five members in my family. One sister and one brother.","She should be amiable and caring personality."
"87","Male","28 to 31","No higher education","Other upper caste","Nuclear Family","Max 12.5 lakh","Parent","Only three members in my family","B.a, B.ed /B.Com/ Govt Teacher / Private Teacher and above"
